Starting a Gradle Daemon (subsequent builds will be faster)
> Task :app:generateEffectiveLombokConfig UP-TO-DATE
> Task :app:compileJava UP-TO-DATE
> Task :app:processResources UP-TO-DATE
> Task :app:classes UP-TO-DATE

> Task :app:run
[2024-02-24T14:54:35,453] [INFO] [Unzipper]: Found entry Transcription Package 1/00000005/s9852g00.ogg
[2024-02-24T14:54:35,460] [INFO] [Unzipper]: Found entry Transcription Package 1/00000005/s9852g01.ogg
[2024-02-24T14:54:35,469] [INFO] [Unzipper]: Found entry Transcription Package 1/00000005/s9852g02.ogg
[2024-02-24T14:54:35,478] [INFO] [Unzipper]: Found entry Transcription Package 1/00000005/s9852g03.ogg
[2024-02-24T14:54:35,487] [INFO] [Unzipper]: Found entry Transcription Package 1/00000005/s9852g04.ogg
[2024-02-24T14:54:35,501] [INFO] [Unzipper]: Found entry Transcription Package 1/00000005/s9852g05.ogg
[2024-02-24T14:54:35,513] [INFO] [Unzipper]: Found entry Transcription Package 1/00000005/s9852g06.ogg
[2024-02-24T14:54:35,520] [INFO] [Unzipper]: Found entry Transcription Package 1/00000005/s9852g07.ogg
[2024-02-24T14:54:35,529] [INFO] [Unzipper]: Found entry Transcription Package 1/00000005/s9852g08.ogg
[2024-02-24T14:54:35,537] [INFO] [Unzipper]: Found entry Transcription Package 1/00000006/s98ade00.ogg
[2024-02-24T14:54:35,554] [INFO] [Unzipper]: Found entry Transcription Package 1/00000006/s98ade01.ogg
[2024-02-24T14:54:35,562] [INFO] [Unzipper]: Found entry Transcription Package 1/bin/cplayer.exe
[2024-02-24T14:54:35,568] [INFO] [Unzipper]: Found entry Transcription Package 1/bin/CSVideoDecoder.dll
[2024-02-24T14:54:35,575] [INFO] [Unzipper]: Found entry Transcription Package 1/bin/footvxd.vxd
[2024-02-24T14:54:35,576] [INFO] [Unzipper]: Found entry Transcription Package 1/Sessions.csx
[2024-02-24T14:54:35,576] [INFO] [CourtSmartDirParser]: Will get store and oggs for dir /tmp/31747
[2024-02-24T14:54:35,671] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000002/s97l760g.ogg with new file /tmp/31747/Transcription Package 1/00000002/2024-02-21_11-32_s97l760g.ogg
[2024-02-24T14:54:35,671] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000001/s95rde02.ogg with new file /tmp/31747/Transcription Package 1/00000001/2024-02-20_09-30_s95rde02.ogg
[2024-02-24T14:54:35,671] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000005/s9852g03.ogg with new file /tmp/31747/Transcription Package 1/00000005/2024-02-21_16-31_s9852g03.ogg
[2024-02-24T14:54:35,671] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000003/s97xuv05.ogg with new file /tmp/31747/Transcription Package 1/00000003/2024-02-21_14-15_s97xuv05.ogg
[2024-02-24T14:54:35,672] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000002/s97l7609.ogg with new file /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-22_s97l7609.ogg
[2024-02-24T14:54:35,672] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000002/s97l7607.ogg with new file /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-02_s97l7607.ogg
[2024-02-24T14:54:35,672] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000000/s9630i0b.ogg with new file /tmp/31747/Transcription Package 1/00000000/2024-02-20_15-11_s9630i0b.ogg
[2024-02-24T14:54:35,672] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000002/s97l760g.ogg with new file /tmp/31747/Transcription Package 1/00000002/2024-02-21_11-32_s97l760g.ogg
[2024-02-24T14:54:35,672] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000000/s9630i04.ogg with new file /tmp/31747/Transcription Package 1/00000000/2024-02-20_14-01_s9630i04.ogg
[2024-02-24T14:54:35,672] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000002/2024-02-21_11-32_s97l760g.ogg
[2024-02-24T14:54:35,672] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000005/s9852g03.ogg with new file /tmp/31747/Transcription Package 1/00000005/2024-02-21_16-31_s9852g03.ogg
[2024-02-24T14:54:35,672] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000005/2024-02-21_16-31_s9852g03.ogg
[2024-02-24T14:54:35,672] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000001/s95rde02.ogg with new file /tmp/31747/Transcription Package 1/00000001/2024-02-20_09-30_s95rde02.ogg
[2024-02-24T14:54:35,672] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000001/2024-02-20_09-30_s95rde02.ogg
[2024-02-24T14:54:35,672] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000002/s97l7609.ogg with new file /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-22_s97l7609.ogg
[2024-02-24T14:54:35,672] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-22_s97l7609.ogg
[2024-02-24T14:54:35,672] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000000/s9630i0b.ogg with new file /tmp/31747/Transcription Package 1/00000000/2024-02-20_15-11_s9630i0b.ogg
[2024-02-24T14:54:35,672] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000003/s97xuv05.ogg with new file /tmp/31747/Transcription Package 1/00000003/2024-02-21_14-15_s97xuv05.ogg
[2024-02-24T14:54:35,673] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000000/2024-02-20_15-11_s9630i0b.ogg
[2024-02-24T14:54:35,673] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000000/s9630i04.ogg with new file /tmp/31747/Transcription Package 1/00000000/2024-02-20_14-01_s9630i04.ogg
[2024-02-24T14:54:35,673] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000002/s97l7607.ogg with new file /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-02_s97l7607.ogg
[2024-02-24T14:54:35,673] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000000/2024-02-20_14-01_s9630i04.ogg
[2024-02-24T14:54:35,673] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000003/2024-02-21_14-15_s97xuv05.ogg
[2024-02-24T14:54:35,673] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-02_s97l7607.ogg
[2024-02-24T14:54:35,673] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000001/2024-02-20_09-30_s95rde02.ogg to transcribe-legal-audio/2024-02-24_4f3c4f31-0f85-4481-9e37-d412da5ed107/2024-02-20_09-30_s95rde02.ogg
[2024-02-24T14:54:35,673] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000005/2024-02-21_16-31_s9852g03.ogg to transcribe-legal-audio/2024-02-24_93a95c5f-f381-4a72-b86b-83485d342b30/2024-02-21_16-31_s9852g03.ogg
[2024-02-24T14:54:35,673] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000000/2024-02-20_15-11_s9630i0b.ogg to transcribe-legal-audio/2024-02-24_fad62ec9-dab6-4c5a-a08c-8b2d54f29671/2024-02-20_15-11_s9630i0b.ogg
[2024-02-24T14:54:35,673] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000003/2024-02-21_14-15_s97xuv05.ogg to transcribe-legal-audio/2024-02-24_ae7880dc-ed80-408f-a3ee-f465a2ee5002/2024-02-21_14-15_s97xuv05.ogg
[2024-02-24T14:54:35,673] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000000/2024-02-20_14-01_s9630i04.ogg to transcribe-legal-audio/2024-02-24_3acb1933-63cd-4bab-91c1-b8bdfcecb466/2024-02-20_14-01_s9630i04.ogg
[2024-02-24T14:54:35,673] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-02_s97l7607.ogg to transcribe-legal-audio/2024-02-24_a800e8c6-e826-4f42-9762-c938e651309f/2024-02-21_10-02_s97l7607.ogg
[2024-02-24T14:54:35,673] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000002/2024-02-21_11-32_s97l760g.ogg to transcribe-legal-audio/2024-02-24_ab2c55f9-db1b-4652-a6ac-9da9bc92938d/2024-02-21_11-32_s97l760g.ogg
[2024-02-24T14:54:35,673] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-22_s97l7609.ogg to transcribe-legal-audio/2024-02-24_7dc7be0a-3013-4110-b690-3b7b73e6772e/2024-02-21_10-22_s97l7609.ogg
[2024-02-24T14:54:35,698] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000002/s97l7608.ogg with new file /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-12_s97l7608.ogg
[2024-02-24T14:54:35,698] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000000/s9630i05.ogg with new file /tmp/31747/Transcription Package 1/00000000/2024-02-20_14-11_s9630i05.ogg
[2024-02-24T14:54:35,698] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000002/s97l760a.ogg with new file /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-32_s97l760a.ogg
[2024-02-24T14:54:35,698] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000005/s9852g04.ogg with new file /tmp/31747/Transcription Package 1/00000005/2024-02-21_16-41_s9852g04.ogg
[2024-02-24T14:54:35,698] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000004/s981yo00.ogg with new file /tmp/31747/Transcription Package 1/00000004/2024-02-21_14-54_s981yo00.ogg
[2024-02-24T14:54:35,699] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000001/s95rde03.ogg with new file /tmp/31747/Transcription Package 1/00000001/2024-02-20_09-40_s95rde03.ogg
[2024-02-24T14:54:35,699] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000002/s97l760a.ogg with new file /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-32_s97l760a.ogg
[2024-02-24T14:54:35,699] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000005/s9852g04.ogg with new file /tmp/31747/Transcription Package 1/00000005/2024-02-21_16-41_s9852g04.ogg
[2024-02-24T14:54:35,699] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-32_s97l760a.ogg
[2024-02-24T14:54:35,699] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000005/2024-02-21_16-41_s9852g04.ogg
[2024-02-24T14:54:35,699] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000000/s9630i05.ogg with new file /tmp/31747/Transcription Package 1/00000000/2024-02-20_14-11_s9630i05.ogg
[2024-02-24T14:54:35,699] [INFO] [FileRenamer]: Will replace old file /tmp/31747/Transcription Package 1/00000000/s9630i0c.ogg with new file /tmp/31747/Transcription Package 1/00000000/2024-02-20_15-21_s9630i0c.ogg
[2024-02-24T14:54:35,699] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000002/2024-02-21_10-32_s97l760a.ogg to transcribe-legal-audio/2024-02-24_704e5e41-4540-4484-8cde-766654a1baff/2024-02-21_10-32_s97l760a.ogg
[2024-02-24T14:54:35,699] [INFO] [S3Facade]: Will put obj /tmp/31747/Transcription Package 1/00000005/2024-02-21_16-41_s9852g04.ogg to transcribe-legal-audio/2024-02-24_0f518557-2c06-4478-9177-98bacb0b9f0c/2024-02-21_16-41_s9852g04.ogg
[2024-02-24T14:54:35,699] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000000/2024-02-20_14-11_s9630i05.ogg
[2024-02-24T14:54:35,699] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000004/s981yo00.ogg with new file /tmp/31747/Transcription Package 1/00000004/2024-02-21_14-54_s981yo00.ogg
[2024-02-24T14:54:35,699] [INFO] [FileRenamer]: Did replace old file /tmp/31747/Transcription Package 1/00000001/s95rde03.ogg with new file /tmp/31747/Transcription Package 1/00000001/2024-02-20_09-40_s95rde03.ogg
[2024-02-24T14:54:35,699] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000004/2024-02-21_14-54_s981yo00.ogg
[2024-02-24T14:54:35,699] [INFO] [S3TranscriptionStarter]: Will start transcript of /tmp/31747/Transcription Package 1/00000001/2024-02-20_09-40_s95rde03.ogg
